barcode,sku,image,image_file,name_fr,name_en,description_fr,description_en,quantity,collection,category,height,width,length,weight,price,Prix final,deal,pre-order,dimensions,position,import,,,,,,
10923450195,10923450195,,Meubles67.jpg,Tabouret en tissu avec motifs,Stool 36 x 36 x 45,Tabouret en tissu avec motifs,,1,vintage,stools,45,36,36,10,144,,50,,IN,380,no,,,,,,
10923451480,,,,,Stool 40 x 40 x 52,,,,,,52,40,40,,216,,,,,,no,,,,,,
10923451430,,,,,Wall curtain 110 x 230,,,,,,230,110,,,144,,,,,,no,,,,,,
10923451391,10923451391,,Meubles138.jpg,Poulie de métal,Poulie de métal,Poulie de métal récupérée,,1,vintage,decoration,6,3,17,15,96,,50,,IN,420,no,,,,,,
10923451381,,,,,Wood Almirah usual,,,,,,,,,,2024,,,,,,no,,,,,,
10923451003,10923451003,,Meubles142.jpg,Lanterne,Lanterne,Lanterne de tablr,,1,sherazed,tablelamps,21,12,12,3,450,,50,,IN,100,no,,,,,,
10923450431,,,,,Drawer ,,,,,,,,,,240,,,,,,no,,,,,,
EW1663,,,,,Wood TV Cabinet 2 doors,,,,,,,,,,1080,,,,,,no,,,,,,
12045*85,,,,,Medium sideboard,,,,,,,,,,1576,,,,,,no,,,,,,
10923450231,,,,,Stool 60 x 60 x 79,,,,,,60,60,79,,288,,,,,,no,,,,,,
11234500356,,,,,Sink,,,,,,,,,,225,,,,,,no,,,,,,
10923451369,,,,,Box 87 x 35 x 40,,,,,,40,35,87,,320,,,,,,no,,,,,,
10923451130,10923451130,,Meubles1.jpg,Table de racine et verre,Root Table + glass,Table de racine et verre,,1,roots,tables,30,70,70,250,2600,,50,,IN,100,no,,,,,,
10923451359,10923451359,,Meubles26.jpg,Coffre de rangement,Box 48 x 18 x 18,Coffre de rangement. Importation de l'Inde,,1,antique,storagebox,18,18,48,40,712,,50,,IN,375,no,,,,,,
1123450392,,,,,Carving 3 drw. Cabinet,,,,,,,,,,1432,,,,,,no,,,,,,
10923451484,10923451484,,Meubles33.jpg,Armoire bleue 2 portes,,Armoire bleue 2 portes. Importation de l'Inde,,1,antique,cabinet,40,11.5,24.5,100,560,,30,,IN,260,no,,,,,,
1123450213,,,,,Wood iron industrial bench,,,,,,,,,,520,,,,,,no,,,,,,
1123450225,,,,,Bench folding legs,,,,,,,,,,400,,,,,,no,,,,,,
1123450406,1123450406,,Meubles39.jpg,Étagère zig zag,Zigzag Cabinet,Étagère 5 casiers. Importation de l'Inde,,1,antique,cabinet,59.5,12,12.5,100,712,,50,,IN,262,no,,,,,,
NK-072,,,,,Buffet,,,,,,,,,,1040,,,,,,no,,,,,,
1123450230,,,,,Bar stool,,,,,,29,12,15,,144,,,,,,no,,,,,,
10923451179,,,,,Cast stool,,,,,,20,15.5,15.5,,249,,,,,,no,,,,,,
10923451346,10923451346,,Meubles46.jpg,Buffet antique,Wood side board 114 x 45,Buffet antique. Importation de lèInde,,1,antique,buffets,114,116,45,125,1088,,39,,CM,260,no,,,,,,
IN-8-35*35*150,,,,,Book shelf,,,,,,,,,,796,,,,,,no,,,,,,
10923451163,10923451163,,Meubles107.jpg,Boîte à épices,Spices box,Boîte à épices à deux compartiments sculptée.,,3,antique,storagebox,7,3,11,2,64,,50,,CM,410,no,,,,,,
1123450235,1123450235,,Meubles151.jpg,Boîte de rangement,3 Front Strip,Boîte de rangement en bis massif,,5,antique,storagebox,9,9,14,15,56,,50,,IN,400,no,,,,,,
1123450230,,,,,Bar stool,,,,,,,,,,144,,,,,,no,,,,,,
10923450469,,,,,Bar stool,,,,,,,,,,112,,,,,,no,,,,,,
10923450468,,,,,Bar stool,,,,,,,,,,96,,,,,,no,,,,,,
10923451170,10923451170,,Meubles149.jpg,Sceau en métal recyclé,Iron Bucket,Sceau en métal recyclé. Importation de l'Inde,,10,antique,decoration,9.5,9.5,9.5,2,17.99,,50,,IN,415,no,,,,,,
10923450464,10923450464,,Meubles146.jpg,Cadre en bois de bateau recyclé,Wooden Frame,Cadre en bois de bateau recyclé. Importation de l'Inde,,10,antique,decoration,20,20,4,2,50,,50,,CM,400,no,,,,,,
1123450368,1123450368,,Meubles21.jpg,Table en bois d'acacia 69 po,,Table en bois d'acacia brun clair 69 po. Pièements en métal couleur chrome,,1,rosewood,tables,39,69,30,100,2280,,50,,IN,100,no,,,,,,
10923451358,10923451358,,Meubles25.jpg,Coffre sur roulettes,,Coffre de rangement sur roulettes antique. Importation de l'Inde.,,1,antique,storagebox,18,52,43,100,872,,30,,CM,375,no,,,,,,
11234050230,11234050230,,Meubles53.jpg,Tabouret en bois de bateu recyclé 29 po,,Tabouret en bois de bateu recyclé 29 po. 3 hauteurs disponibles,,5,antique,benches,29,15,15,5,144,,50,,IN,254,no,,,,,,
,,,,,,,,,,,,12,,,,,,,,,no,jusquèa 46 pouces,,,,,
10923451165,10923451165,,Meubles27.jpg,Petite table d'appoint,,Petite table d'appoint ou à café. Cette tables est faite de bois de bateau recyclé.,,2,antique,coffetables,21,12,27,100,328,,50,,IN,150,no,,,,,,
1123450341,1123450341,,Meubles82.jpg,Statue de déesse sur pied,TORSO PENDET STAND,Statue de déesse sur pied,,5,temple,statue,16,5,5,3,80,,50,,IN,393,no,,,,,,
1123450263,1123450263,,Meubles13.jpg,Chaise en cuir et métal - FOEX,,Chaise en cuir et métal FOEX.,,5,temple,statue,48,22,22,100,1060,,50,,IN,201,no,,,,,,
10923451127,10923451127,,Meubles81.jpg,Tête de buffle en os,,Tête de buffle en os,,2,antique,decoration,6,27,16,10,460,,50,,IN,391,no,,,,,,
