barcode,sku,image,image_file,name_fr,name_en,description_fr,description_en,quantity,collection,category,height,width,length,weight,price,Prix final,deal,pre-order,position,import,dimensions,,,,,,,
10923450395, ANTIQUE 2,,110.jpg,Buffet antique,,Buffet style antique fabriqué en bois sculpté profond. Plusieurs tiroirs et tailles différentes. Pièces uniques. Importation d'Indonésie,,,unique,buffets,,,,,,,,,,,,,,,,,,
,KHEM5,,111.jpg,Buffet chic industriel sur roulette,,"Buffet chic industriel sur roulette fabriqué en bois de manguier, métal et textile imprimé. Disponible en tailles variées. Importation de l'Inde.",,,industrialchic,buffets,105,200,40,200,1920,,,,,,,,,,,,,
,BAR,,112.jpg,Table basse racine de teck et chrome,,Table basse fabriquée en rondelles de racine de teck avec piètement chrome. Disponible également avec un avec piètement métallique brut. Importation d'Indonésie.,,,roots,lrconsole,47,47,47,100,890,,,,,,,,,,,,,
FOR-036A,FOR 036 A,,113.jpg,Table carrée en bois de rose avec piètement central,,"Table carrée fabriquée en bois de rose avec piètement central. Disponible en 2 tailles, avec différentes teintes et piètements.",,,rosewood,tables,76,150,150,150,999,,,,,,,,,,,,,
10923450994,ANGI 11,,114.jpg,Bol en racine teck,,Bol fabriqué en racine de teck. Disponible en différentes formes et tailles. Importation d'Indonésie,,,roots,dcstorageboxes,13,36,28,5,110,,,,,no,,,,,,,,
,ANGI 111,,115.jpg,Bol en racine teck - ANGI1,,Bol fabriqué en racine de teck. Disponible en différentes formes et tailles. Importation d'Indonésie,,,roots,dcstorageboxes,15,33,33,9,110,,,,,no,,,,,,,,
,ANGI 9,,116.jpg,Planche à découper racine de teck,,Planche à découper en racine de teck. Disponible en différentes tailles. Importation d'Indonésie.,,,roots,choppingboard,2,9,17,1,49,,,,,no,,,,,,,,
10923450223,M-3015,,117.jpg,Sac canevas et cuir,,Sac fabriqué en matière recyclée (canevas et cuir). Disponible en différents styles et formats. Importation de l'Inde.,,,vintagecanvas,accessories,38,46,8,2,88,,,,,,,,,,,,,
10923450201,M-1463-1,,118.jpg,Coussin canevas et cuir,,Coussin style vintage en canevas et cuir recyclé. Disponible en différentes tailles. Importation de l'Inde.,,,vintagecanvas,cussions,77,105,8,6,184,,,,,,,,,,,,,
10923450200,M-1428,,119.jpg,Étuis pour tablette numérique canevas et cuir,,"Étuis style vintage pour tablette numérique, fabriquée en canevas et cuir recyclé. Disponible avec différents designs. Importation de l'Inde. ",,,vintagecanvas,accessories,26,31,23,1,32,,,,,,,,,,,,,
10923450220,M-2563,,120.jpg,Étuis pour tablette numérique canevas et cuir - Indes,,Étuis pour tablette numérique style vintage fabriqués en canevas et cuir recyclé. Disponible avec différents designs. Importation de l'Inde.,,,vintagecanvas,accessories,26,31,23,1,32,,,,,,,,,,,,,
10923450216,M-2034,,121.jpg,Porte feuille canevas et cuir,,Porte-feuille style vintage fabriqué en canevas et cuir. Disponible avec différents designs. Importation de l'Inde.,,,vintagecanvas,accessories,26,23,12,1,40,,,,,,,,,,,,,
INDIANA2,INDO,,122.jpg,Tête de bouddha sur pied,,Statue de tête de bouddha fabriquée en pierre volcanique sur pied en bois. Importation d'Indonésie.,,,temple,statue,31,13,11,7,45,,,,,,,,,,,,,
INDIANA6,INDO1,,123.jpg,Buste de bouddha sur pied,,Buste de bouddha fabriqué en pierre volcanique sur pied en bois. Importation d'Indonésie.,,,temple,statue,38,20,15,12,100,,,,,,,,,,,,,
,INDO2,,124.jpg,Statue de bouddha ,,Statue de bouddha fabriquée en pierre volcanique. Disponible en différentes tailles. Importation d'Indonésie.,,,temple,statue,27,15,10,6,35,,,,,no,,,,,,,,
1123450208,UN-M3,,125.jpg,Bibliothèque industrielle avec échelle,,"Bibliothèque industrielle fabriquée en bois de manguier et bois de bateau recyclé et métal brut. Fabriquée en 3 morceaux, meuble télé, étagère et échelle. 4 tailles disponibles. Importation de l'Inde.",,,industrialchic,storage,96,63,14,125,2700,,,,,,,,,,,,,
,,,126.jpg,Meuble de divertissement vintage industriel,,"Meuble de divertissement vintage industriel fabriqué en bois de bateau recyclé et métal martelé à la main. Coins arrondis, style années 50. Disponible en différentes tailles et modèles. ",,,industrialchic,mediaunits,,,,,,,,,,,,,,,,,,
,,,127.jpg,Petite étagère industrielle,,Petite étagère industrielle avec un tiroir et 2 étagères fabriquée en bois de bateau recyclé et métal brut. Importation de l'Inde.,,,industrialchic,storage,,,,,,,,,,,,,,,,,,
,,,,Console racine de teck,,Console fabriquée en racine de teck recyclé. Pièce unique. Importation d'Indonésie. ,,,roots,lrconsole,82,180,41,100,1495,,,,,,,,,,,,,
,FABL4,,128.jpg,Table à café en bois suar,,"Table à café faite en bois de suar 3.5 pouces d'épaisseur. 6 degré taux d'humidité. Avec choix de piètement: métal brute, métal brossé, chrome, stainless, fonte et bois. Provenance Indonésie.",,,suar,coffetables,78,78,78,100,650,,,,,,,,,,,,,
,FABL5,,141.jpg,Table à dîner en bois suar,,"Table à dîner fabriquée en bois de suar 3,5 pouces d'épaisseur, 6 degrés taux d'humidité. Avec choix de piètement : métal brut, métal brossé, chrome, stainless, fonte et bois. Importation d'Indonésie.",,,suar,tables,78,78,78,100,1450,,,,,,,,,,,,,
,FABL6,,129.jpg,Étagère industrielle fabriquée au Québec,,Étagère industrielle fabriquée de matériel entièrement québécois. Possibilité de fabrication sur mesure. Fabriquée au Québec.,,,local,storage,,,,,,,,,,,,,,,,,,
,FABL7,,130.jpg,Table à café en bois suar teint,,"Table à café fabriquée en bois de suar teint, 3.5 pouces d'épaisseur, 6 degrés taux d'humidité. Avec choix de piètements et teintures variés.  Importation d'Indonésie.",,,suar,coffetables,40,40,40,78,550,,,,,,,,,,,,,
HE-6108,HE6108,,131.jpg,Étagère chic industrielle bois et métal,,Étagère chic industrielle à 20 tiroirs fabriquée en bois de rose et métal. Importation de l'Inde.,,,industrialchic,storage,100,100,100,125,1795,,,,,,,,,,,,,
,TBLBS,,132.jpg,Table basse racine de teck,,Table basse fabriquée en racine de teck,,,uniqueroots,lrconsole,25,48,36,80,750,,,,,,,,,,,,,
10923450434,MAEX IRONASF,,,Sofa jeep recyclé,,Sofa fabriqué de devant de jeep recyclé et recouvert avec du bois de teck recyclé. Les  phares sont fonctionnels. Importation de l'Inde.,,,green,sofas,,,,,,,,,,,,,2000-5000,,,,,
,FABL2,,133.jpg,Table en érable freeform FABRICATION AU QUÉBEC,,Table en érable freeform avec piètement métallique (5 choix de piètements disponibles  et teintes variées). Possibilité de fabrication sur mesure.  Fabriquée au Québec.,,,local,tables,78,78,78,125,1395,,,,,,,,,,,,,
,,,134.jpg,Table en acacia freeform,,"Table freeform en acacia. Disponible en teintez, tailles et piètements variés. Importation de l'Inde.",,,hobi,tables,,,,,,,,,,,,,,,,,,
,,,135.jpg,Ensemble de salle à manger en bois d'acacia,,"Table de coupe droite en bois d'acacia, livrée avec un banc. Disponible en teintes, tailles et piètements variés. Importation de l'Inde.",,,hobi,bedsidetables,,,,,,,,,,,,,,,,,,
,,,136.jpg,Table de nuit en bois de rose,,Table de nuit fabriquée en bois de rose. Disponible en différentes tailles et couleurs. Importation de l'Inde.,,,rosewood,bedsidetables,,,,,,,,,,,,,,,,,,
,ACOR1,,137.jpg,Table en acacia freeform ACOR,,"Table freeform en acacia. Disponible en teintes, tailles et piètements variés. Importation de l'Inde.",,,hobi,tables,78,78,78,125,2895,,,,,,,,,,,,,
,,,138.jpg,Table à café racine de teck,,Table à café fabriquée de racine de teck recyclé. Pièce unique. Importation d'Indonésie.,,,uniqueroots,consoletables,80,200,60,200,750,,,,,,,,900-3500,,,,,
,,,139.jpg,Console racine de teck - pièce unique,,Console fabriquée en racine de teck recyclé. Pièce unique. Importation d'Indonésie.,,,uniqueroots,consoletables,,,,,,,,,,,,,,,,,,
,ACOR2,,140.jpg,Table en acacia freeform - Indes,,"Table freeform en acacia. Disponible en teintes, tailles et piètements variés. Importation de l'Inde.",,,hobi,tables,,,,,,,,,,,,,,,,,,
10923450441,10923450441,,IMG_0041.jpg,3 crochets sur planche de bateau recyclée,,"3 crochets sur planche de bateau recyclée. Disponible 3, 4 et 5 crochets",,,recycledboat,hooks,5,18,3.5,1,40,,,,,no,IN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
