barcode,sku,image,image_file,name_fr,name_en,description_fr,description_en,quantity,collection,category,height,width,length,weight,price,Prix final,deal,pre-order,position,import,dimensions,,,,,,,
,ALEX,,26.jpg,Lampe indonésienne,,Lampe originale fabriquée en bois recyclé. Importation d'Indonésie.,,1,nature,floorlamps,40,40,15,17,190,,,,,,,,,,,,,
,BD1,,27.jpg,Coussin thaï rectangulaire,,Coussin thaï rectangulaire fabriqué en coton biologique et textile. Disponible en 4 formats et couleurs variés. Importation de la Thaïlande.,,1,thaicussion,cussions,85,55,8,10,72,,,,,,,,,,,,,
,,,28.jpg,Coussin thaï rectangulaire allongé,,Coussin thaï rectangulaire fabriqué en coton biologique et textile. Disponible en 4 formats et couleurs variés. Importation de la Thaïlande.,,1,thaicussion,cussions,198,114,24,24,72,6.3 KG,,,,,,,,,,,,
1223450003,1223450003,,29.jpg,Ensemble 2 chaises modernes textile et bois,,Chaise fabriquée en un seul morceau. Textile et bois. Ensemble 2 chaises,,0,fabric,chairs,39,18,19,8,300,,30,,,no,IN,,,,,,,
,,,30.jpg,Chaise moderne (PAS INV),,Chaise fabriquée en un seul morceau. Textile et bois. ,,1,fabric,chairs,51,39,47,16,150,,,,,,,,,,,,,
1223450004,1223450004,,31.jpg,Chaise Ensemble 2 chaises VELVET,,Chaise fabriquée en un seul morceau. Velours et bois. Ensemble 2 chaises,,0,velvet,chairs,51,39,47,16,300,,30,,,no,IN,,,,,,,
1223450032,1223450032,,32.jpg,ChaiseEnsemble 2 chaises modernes canevas et bois,,Chaise fabriquée en un seul morceau. Canevas et bois. Ensemble 2 chaises,,10,fabric,chairs,51,39,47,16,300,,30,,,no,IN,,,,,,,
10923451153,10923451153,,33.jpg,Chaise rétro,,"Chaise fabriquée en métal, style rétro. Importation de l'Inde.",,10,tolix,chairs,38,19,15,4.8,160,,,,,no,,,,,,,,
,STACARO4,,34.jpg,Chaise moderne,,Chaise moderne fabriquée en un seul morceau. Textile et bois. ,,10,fabric,chairs,51,47,39,14,150,,,,,,,,,,,,,
,,,35.jpg,Console,,Console fabriquée en bois de teck recyclé 200 ans. Piètement en chrome. Importation de l'Inde.,,10,railroad,consoletables,,,,,,,,,,,,,,,,,,
